id,created_at,created_by,last_updated_at,last_updated_by,campus,slug,name,aka,geoloc,type,image_url,description,address,postal_code,state,city,departments,rooms,country
2063,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-136,escondido village v - unit 136,"{""10-136"",""escondido village v - unit 136"",""escondido village, building 136"",""unit-136""}","{""lat"":37.42253278,""lon"":-122.15855298}",,,,136 running farm lane,94305,CA,Stanford,,,US
2064,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-137,escondido village v - unit 137,"{""10-137"",""escondido village v - unit 137"",""escondido village, building 137"",""unit-137""}","{""lat"":37.42231379,""lon"":-122.15871301}",,,,137 running farm lane,94305,CA,Stanford,,,US
2065,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-139,escondido village v - unit 139,"{""10-139"",""escondido village v - unit 139"",""escondido village, building 139"",""unit-139""}","{""lat"":37.4219636,""lon"":-122.15858702}",,,,139 running farm lane,94305,CA,Stanford,,,US
2066,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-138,escondido village v - unit 138,"{""10-138"",""escondido village v - unit 138"",""escondido village, building 138"",""unit-138""}","{""lat"":37.42212695,""lon"":-122.15853807}",,,,138 running farm lane,94305,CA,Stanford,,,US
2067,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-140,escondido village v - unit 140,"{""10-140"",""escondido village v - unit 140"",""escondido village, building 140"",""unit-140""}","{""lat"":37.42199833,""lon"":-122.15877463}",,,,140 ayrshire farm lane,94305,CA,Stanford,,,US
2068,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-142,escondido village v - unit 142,"{""10-142"",""escondido village v - unit 142"",""escondido village, building 142"",""unit-142""}","{""lat"":37.42269779,""lon"":-122.15941234}",,,,142 ayrshire farm lane,94305,CA,Stanford,,,US
2069,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-141,escondido village v - unit 141,"{""10-141"",""escondido village v - unit 141"",""escondido village, building 141"",""unit-141""}","{""lat"":37.42262646,""lon"":-122.15903446}",,,,141 ayrshire farm lane,94305,CA,Stanford,,,US
2070,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-143,escondido village v - unit 143,"{""10-143"",""escondido village v - unit 143"",""escondido village, building 143"",""unit-143""}","{""lat"":37.42260198,""lon"":-122.1595452}",,,,143 ayrshire farm lane,94305,CA,Stanford,,,US
2071,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-144,escondido village v - unit 144,"{""10-144"",""escondido village v - unit 144"",""escondido village, building 144"",""unit-144""}","{""lat"":37.42248323,""lon"":-122.15944854}",,,,144 ayrshire farm lane,94305,CA,Stanford,,,US
2072,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-145,escondido v highrise-mirrielees,"{""10-145"",""escondido v highrise-mirrielees"",""mirrielees house"",""mirrielees""}","{""lat"":37.42344523,""lon"":-122.15978472}",,,,730 escondido road,94305,CA,Stanford,,,US
2073,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-150,859 escon,"{""10-150"",""859 escon"",""central administrative"",""cottage room"",""diana conklin conference room"",""escondido village admin. center"",""escondite cottage"",""housing front desk at escondite cottage""}","{""lat"":37.42293409,""lon"":-122.15542986}",,,,150 comstock circle,94305,CA,Stanford,,,US
2075,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-160,escondido laundry 21l,"{""10-160"",""escondido laundry 21l"",""escondido village - building 160"",""escondido laundry"",""ev-blg160"",""graduate housing package center""}","{""lat"":37.42328751,""lon"":-122.15525585}",,,,160 comstock circle,94305,CA,Stanford,,,US
2077,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-185,technical trades operations,"{""10-185"",""technical trades operations""}","{""lat"":37.42333525,""lon"":-122.15707963}",,,,795 escondido road,94305,CA,Stanford,,,US
2079,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-202,graduate student housing,"{""10-202"",""graduate student housing"",""rains 202"",""rains, building 202"",""single graduate student housing"",""single graduate student""}","{""lat"":37.42276889,""lon"":-122.15745369}",,,,202 running farm lane,94305,CA,Stanford,,,US
2081,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-204,building 20,"{""10-204"",""building 20"",""buttery lounge"",""rains 204"",""rains, building 204 (the buttery)"",""rains, buttery lounge""}","{""lat"":37.42239996,""lon"":-122.15760814}",,,,204 running farm lane,94305,CA,Stanford,,,US
2082,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-205,bailey lounge,"{""10-205"",""bailey lounge"",""rains 205"",""rains, bailey lounge"",""rains, building 205"",""the deli""}","{""lat"":37.42232804,""lon"":-122.15781154}",,,,205 running farm lane,94305,CA,Stanford,,,US
2083,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-206,rains 206,"{""10-206"",""rains 206"",""rains, building 206""}","{""lat"":37.4218815,""lon"":-122.15769135}",,,,206 rosse lane,94305,CA,Stanford,,,US
2076,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-187,carpentry & building access,"{""10-187"",""carpentry & building access"",""hous maint"",""housing maintenance center annex"",""housing maintenance center"",""project crew operations""}","{""lat"":37.42376003,""lon"":-122.15789391}",,,,785 escondido road,94305,CA,Stanford,,,US
2078,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-201,"rains, building 201","{""10-201"",""building 20"",""rains 201"",""rains, building 201""}","{""lat"":37.42263636,""lon"":-122.15719741}",,,,201 rosse lane,94305,CA,Stanford,,,US
2080,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-203,hacienda room,"{""10-203"",""hacienda room"",""hacienda"",""housing front desk at rains"",""rains 203"",""rains, building 203"",""rains, hacienda commons""}","{""lat"":37.42222237,""lon"":-122.15744799}",,,,203 rosse lane,94305,CA,Stanford,,,US
2085,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-208,rains 208,"{""10-208"",""rains 208"",""rains, building 208""}","{""lat"":37.42143188,""lon"":-122.15814825}",,,,208 rosse lane,94305,CA,Stanford,,,US
2086,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-210,rains 210,"{""10-210"",""rains 210"",""rains, building 210""}","{""lat"":37.42124857,""lon"":-122.1580815}",,,,210 rosse lane,94305,CA,Stanford,,,US
2087,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-209,rains 209,"{""10-209"",""rains 209"",""rains, building 209""}","{""lat"":37.42155108,""lon"":-122.15838297}",,,,209 running farm lane,94305,CA,Stanford,,,US
2088,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-211,rains 211,"{""10-211"",""rains 211"",""rains, building 211""}","{""lat"":37.42151912,""lon"":-122.15860343}",,,,211 running farm lane,94305,CA,Stanford,,,US
2089,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-212,pine,"{""10-212"",""pine"",""rains 212"",""rains, building 212""}","{""lat"":37.42070848,""lon"":-122.15792689}",,,,212 pine hill courts,94305,CA,Stanford,,,US
2090,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-213,rains 213,"{""10-213"",""rains 213"",""rains, building 213""}","{""lat"":37.42061203,""lon"":-122.15824111}",,,,213 pine hill courts,94305,CA,Stanford,,,US
2091,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-214,rains 214,"{""10-214"",""rains 214"",""rains, building 214""}","{""lat"":37.42097744,""lon"":-122.15794709}",,,,214 pine hill courts,94305,CA,Stanford,,,US
2092,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-215,rains 215,"{""10-215"",""rains 215"",""rains, building 215""}","{""lat"":37.42076744,""lon"":-122.15854757}",,,,215 pine hill courts,94305,CA,Stanford,,,US
2093,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-216,rains 216,"{""10-216"",""rains 216"",""rains, building 216""}","{""lat"":37.42113377,""lon"":-122.15825091}",,,,216 rosse lane,94305,CA,Stanford,,,US
2094,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-217,rains 217,"{""10-217"",""rains 217"",""rains, building 217""}","{""lat"":37.42098414,""lon"":-122.15896885}",,,,217 ayrshire farm lane,94305,CA,Stanford,,,US
